epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/player-back,val/AP/player-front,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
0,249,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
0,299,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
0,322,,,,,,,,,,,,,,,,,,,,,,0.7073550224304199,0.8407307267189026,0.9876511096954346,0.9872641563415527,0.7871372699737549,0.839207112789154,2.8989012241363525,0.9881553649902344,0.7740429043769836,0.9179639220237732,0.8293984532356262,0.9852867126464844,0.990085244178772
0,322,3867.886962890625,3638.37646484375,3861.494140625,3873.3740234375,4.027572154998779,4.388428688049316,0.02074781246483326,0.020898092538118362,0.02077886275947094,0.02328387461602688,0.5678737759590149,0.5967375636100769,0.5695616006851196,0.6023229360580444,0.19777126610279083,0.1992514729499817,0.1982288360595703,0.2164425551891327,,,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
1,449,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
1,499,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
1,549,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
1,599,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
1,645,,,,,,,,,,,,,,,,,,,,,,0.7284056544303894,0.8480365872383118,0.9925549626350403,0.9948453307151794,0.813723623752594,0.8571365475654602,2.828052520751953,0.9979180693626404,0.7882211208343506,0.929943859577179,0.8451414704322815,0.9920787215232849,0.9930555820465088
1,645,3875.144775390625,3584.643798828125,3858.7880859375,3889.9736328125,0.415025919675827,3.8448660373687744,0.01740245334804058,0.017558012157678604,0.017428753897547722,0.021576395258307457,0.47473016381263733,0.5127374529838562,0.4765479266643524,0.5336572527885437,0.1775997132062912,0.17878742516040802,0.17765724658966064,0.20463480055332184,,,,,,,,,,,,,,,,
2,649,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,699,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,749,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,799,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,849,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,899,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,949,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,968,,,,,,,,,,,,,,,,,,,,,,0.7214047312736511,0.8389586210250854,0.9920476078987122,0.9969620108604431,0.8189892172813416,0.868532121181488,2.8177707195281982,0.994018018245697,0.7801817059516907,0.9274806976318359,0.8254194259643555,0.9930413961410522,0.9910733699798584
2,968,3843.794677734375,3581.79541015625,3808.238525390625,3888.674560546875,0.25500285625457764,3.6595587730407715,0.016399793326854706,0.016535690054297447,0.016431454569101334,0.020100966095924377,0.4517841637134552,0.4938488304615021,0.45412686467170715,0.511224091053009,0.16854672133922577,0.16978409886360168,0.16860826313495636,0.19367964565753937,,,,,,,,,,,,,,,,
