epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/scoreboards,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
16,84,3831.41259765625,3884.49365234375,3872.44384765625,3892.043701171875,0.0,1.7643102407455444,0.007081170566380024,0.007608050014823675,0.00750553235411644,0.016021449118852615,0.22177724540233612,0.23540516197681427,0.22505652904510498,0.3477244973182678,0.05644489452242851,0.05888327211141586,0.057396210730075836,0.09890858829021454,,,,,,,,,,,,,,,
17,89,,,,,,,,,,,,,,,,,,,,,,0.9565833806991577,0.9887640476226807,0.9987360239028931,0.9230536818504333,0.9466666579246521,2.437314987182617,0.9987360239028931,0.9565833806991577,0.9678022265434265,0.9733333587646484,1.0,0.9777777791023254
17,89,3851.74365234375,3883.800048828125,3883.081298828125,3889.987548828125,0.0,1.935224175453186,0.0075216032564640045,0.008300986140966415,0.007864638231694698,0.02328461967408657,0.22248557209968567,0.2471754103899002,0.22646768391132355,0.39398109912872314,0.05896574258804321,0.05909604951739311,0.05865994840860367,0.12840579450130463,,,,,,,,,,,,,,,
18,94,,,,,,,,,,,,,,,,,,,,,,0.913860023021698,0.9887640476226807,0.9987360239028931,0.9642555713653564,0.9822221994400024,2.2641825675964355,0.9987360239028931,0.913860023021698,0.9975752830505371,0.9377777576446533,1.0,0.9777777791023254
18,94,3839.175048828125,3879.33740234375,3881.80615234375,3892.824951171875,0.0,2.025848388671875,0.008230896666646004,0.009172708727419376,0.008309615775942802,0.032346464693546295,0.21461045742034912,0.24695149064064026,0.22124138474464417,0.42639049887657166,0.0549875907599926,0.05644785612821579,0.05481599643826485,0.14692652225494385,,,,,,,,,,,,,,,
19,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,
19,99,,,,,,,,,,,,,,,,,,,,,,0.9228577613830566,0.9887640476226807,0.9987360239028931,0.9311783909797668,0.9577777981758118,2.0326852798461914,0.9987360239028931,0.9228577613830566,0.9987360239028931,0.9644444584846497,1.0,0.9777777791023254
19,99,3826.668701171875,3872.05615234375,3880.3125,3889.86865234375,0.0,2.1332411766052246,0.007991592399775982,0.008381468243896961,0.00804419256746769,0.02860802412033081,0.23276007175445557,0.2748672366142273,0.23566631972789764,0.4364713728427887,0.06623734533786774,0.06676450371742249,0.06590472161769867,0.1452682465314865,,,,,,,,,,,,,,,
20,104,,,,,,,,,,,,,,,,,,,,,,0.9386540651321411,0.9887640476226807,0.9987360239028931,0.9426204562187195,0.9666666388511658,2.0719072818756104,0.9987360239028931,0.9386540651321411,0.9981435537338257,0.9666666388511658,1.0,0.9777777791023254
20,104,3836.10009765625,3879.72509765625,3883.77490234375,3888.86865234375,0.0,2.264894962310791,0.009227171540260315,0.009380477480590343,0.009545913897454739,0.025541186332702637,0.25251322984695435,0.2701913118362427,0.25347596406936646,0.45126891136169434,0.07829072326421738,0.07563766837120056,0.07846523821353912,0.15209239721298218,,,,,,,,,,,,,,,
21,109,,,,,,,,,,,,,,,,,,,,,,0.9309924244880676,1.0,1.0,0.974708080291748,0.9844444394111633,1.574122428894043,1.0,0.9309924244880676,1.0,0.9577777981758118,1.0,1.0
21,109,3812.449951171875,3876.30615234375,3884.15625,3888.543701171875,0.0,1.848418951034546,0.008234028704464436,0.009831503033638,0.009175878018140793,0.018590161576867104,0.20980611443519592,0.22482578456401825,0.21672765910625458,0.33873051404953003,0.06538886576890945,0.06965845078229904,0.06863991916179657,0.11089837551116943,,,,,,,,,,,,,,,
22,114,,,,,,,,,,,,,,,,,,,,,,0.8606215119361877,1.0,1.0,0.9169790148735046,0.9377777576446533,3.1587390899658203,1.0,0.8606215119361877,0.9713470339775085,0.8955555558204651,1.0,1.0
22,114,3809.53125,3874.699951171875,3874.331298828125,3886.643798828125,0.0,2.2729055881500244,0.012597570195794106,0.014194960705935955,0.013249914161860943,0.02670901082456112,0.2556818127632141,0.27232709527015686,0.26016825437545776,0.39970332384109497,0.07362796366214752,0.08261071145534515,0.07631281763315201,0.1430823802947998,,,,,,,,,,,,,,,
23,119,,,,,,,,,,,,,,,,,,,,,,0.9018486142158508,1.0,1.0,0.8859992623329163,0.9333333373069763,2.2113497257232666,1.0,0.9018486142158508,1.0,0.9177777767181396,1.0,1.0
23,119,3760.199951171875,3868.043701171875,3868.449951171875,3890.43115234375,0.0,2.7883992195129395,0.01602701097726822,0.020916901528835297,0.017975781112909317,0.03211718052625656,0.29752084612846375,0.35242268443107605,0.3225560188293457,0.4538499414920807,0.08836782723665237,0.1158151775598526,0.09886094927787781,0.1603887379169464,,,,,,,,,,,,,,,
24,124,,,,,,,,,,,,,,,,,,,,,,0.8998313546180725,1.0,1.0,0.9049733281135559,0.9377777576446533,2.151033401489258,1.0,0.8998313546180725,1.0,0.9200000166893005,1.0,1.0
24,124,3743.91259765625,3836.293701171875,3862.53125,3888.731201171875,0.0,2.359102487564087,0.012292155995965004,0.011440824717283249,0.01168814580887556,0.020019108429551125,0.3043844699859619,0.33217114210128784,0.3035103380680084,0.4078962802886963,0.08401256054639816,0.08060027658939362,0.08016017824411392,0.12219665944576263,,,,,,,,,,,,,,,
25,129,,,,,,,,,,,,,,,,,,,,,,0.9034761786460876,1.0,1.0,0.9261892437934875,0.95333331823349,2.73964524269104,1.0,0.9034761786460876,1.0,0.9599999785423279,1.0,1.0
25,129,3731.91259765625,3840.331298828125,3851.512451171875,3882.949951171875,0.0,2.3661081790924072,0.011296436190605164,0.010734193958342075,0.012959311716258526,0.030186140909790993,0.271528959274292,0.28095927834510803,0.2905300259590149,0.42225179076194763,0.07648753374814987,0.07094080746173859,0.08484948426485062,0.1552008092403412,,,,,,,,,,,,,,,
26,134,,,,,,,,,,,,,,,,,,,,,,0.8944913744926453,1.0,1.0,0.9439231157302856,0.95333331823349,2.502795934677124,1.0,0.8944913744926453,1.0,0.9266666769981384,1.0,1.0
26,134,3711.41259765625,3824.875,3857.53125,3871.61865234375,0.0,2.7005887031555176,0.009842646308243275,0.015251383185386658,0.010581730864942074,0.0422639437019825,0.24261513352394104,0.35745638608932495,0.2734605669975281,0.5401329398155212,0.06749497354030609,0.09684593230485916,0.07390329241752625,0.2103683203458786,,,,,,,,,,,,,,,
27,139,,,,,,,,,,,,,,,,,,,,,,0.8698286414146423,1.0,1.0,0.9133355617523193,0.9422222375869751,2.4921393394470215,1.0,0.8698286414146423,1.0,0.8888888955116272,1.0,1.0
27,139,3760.21875,3857.94384765625,3867.581298828125,3881.39990234375,0.0,3.2984492778778076,0.020114896818995476,0.018260790035128593,0.01881934143602848,0.03895523399114609,0.3725293278694153,0.399389386177063,0.39442071318626404,0.5141627788543701,0.12516716122627258,0.11477971076965332,0.11622028052806854,0.2124306857585907,,,,,,,,,,,,,,,
28,144,,,,,,,,,,,,,,,,,,,,,,0.8502112030982971,1.0,1.0,0.8779098987579346,0.9088888764381409,3.058319091796875,1.0,0.8502112030982971,1.0,0.9066666960716248,1.0,1.0
